"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C7, C8, C9, C10, C11, C12, C13, C14, C16, C17","11","100n","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"2","C2, C18","2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","C3","1","100n","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"4","C4, C5","2","22u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"5","C15","1","100u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"6","D1, D2, D3, D4","4","1N6263","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"7","J1, J4","2","Conn_01x09_Pin","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical",""
"8","J2","1","Conector_salidas_analógicas","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"9","J3, J5","2","Conn_01x20_Socket","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical",""
"10","J7","1","RS232","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical",""
"11","Q3","1","BC547","Package_TO_SOT_THT:TO-92_Inline",""
"12","R1, R2, R3, R4","4","1M","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"13","R5","1","68k","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"14","R6, R7","2","680","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"15","R8","1","33k","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"16","R9, R28","2","1k","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"17","R10, R29","2","150k","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"18","R11, R13, R15, R16, R19, R20, R21, R22, R49, RV1","10","10K","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"19","R12, R14, R17, R18, R23, R24, R25, R26","8","22K","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"20","R27, R30","2","100k","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"21","R31","1","2.2k","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"22","R39","1","6.8k","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"23","R47","1","68K","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"24","R48","1","33K","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"25","U1","1","CD4051B","Package_DIP:DIP-16_W7.62mm_LongPads",""
"26","U2, U6","2","MCP6002-xMC","Package_DIP:DIP-8_W7.62mm",""
"27","U3","1","ULN2003","Package_DIP:DIP-16_W7.62mm_LongPads",""
"28","U4","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"29","U5","1","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
